State,2018,2019,2020,2021,2022
Andhra Pradesh,24475.0,21992.0,19509.0,21556.0,21249.0
Arunachal Pradesh,277.0,237.0,134.0,283.0,227.0
Assam,8248.0,8350.0,6595.0,7411.0,7023.0
Bihar,9600.0,10007.0,8639.0,9553.0,10801.0
Chhattisgarh,13864.0,13899.0,11656.0,12375.0,13279.0
Goa,3709.0,3440.0,2375.0,2849.0,3011.0
Gujarat,18769.0,17046.0,13398.0,15186.0,15751.0
Haryana,11238.0,10944.0,9431.0,9933.0,10429.0
Himachal Pradesh,3110.0,2873.0,2239.0,2404.0,2597.0
Jharkhand,5394.0,5217.0,4405.0,4728.0,5175.0
Karnataka,41707.0,40658.0,34178.0,34647.0,39762.0
Kerala,40181.0,41111.0,27877.0,33296.0,43910.0
Madhya Pradesh,51397.0,50669.0,45266.0,48877.0,54432.0
Maharashtra,35717.0,32925.0,24971.0,29477.0,33383.0
Manipur,601.0,672.0,432.0,366.0,508.0
Meghalaya,399.0,482.0,214.0,245.0,246.0
Mizoram,53.0,62.0,53.0,69.0,133.0
Nagaland,430.0,358.0,500.0,746.0,489.0
Odisha,11262.0,11064.0,9817.0,10983.0,11663.0
Punjab,6428.0,6348.0,5203.0,5871.0,6138.0
Rajasthan,21743.0,23480.0,19114.0,20951.0,23614.0
Sikkim,180.0,162.0,138.0,155.0,211.0
Tamil Nadu,67279.0,62685.0,49844.0,55682.0,64105.0
Telangana,22230.0,21570.0,19172.0,21315.0,21619.0
Tripura,552.0,655.0,466.0,479.0,575.0
Uttarakhand,1468.0,1352.0,1041.0,1405.0,1674.0
Uttar Pradesh,42568.0,42572.0,34243.0,37729.0,41746.0
West Bengal,12705.0,12658.0,10863.0,11937.0,13686.0
Andaman & Nicobar Islands,254.0,230.0,141.0,115.0,141.0
Chandigarh,316.0,305.0,159.0,208.0,237.0
Dadra & Nagar Haveli *,80.0,68.0,100.0,140.0,196.0
Daman & Diu,76.0,69.0,4860.0,5090.0,5872.0
Delhi,6515.0,5610.0,4178.0,4720.0,5652.0
Jammu & Kashmir $,5978.0,5796.0,4860.0,5452.0,6092.0
Ladakh,6203.0,5703.0,4860.0,236.0,374.0
Lakshadweep,3.0,1.0,1.0,4.0,3.0
Puducherry,1597.0,1392.0,969.0,1049.0,1181.0
